City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,hithadhoo,-0.6,73.0833,27.52000000000004,75,100,3.93,MV,1670210469
67,hobart,-42.8794,147.3294,11.920000000000016,90,75,11.32,AU,1670210458
68,ponta do sol,32.6667,-17.1,17.350000000000023,77,97,9.31,PT,1670210470
69,bluff,-46.6,168.3333,10.450000000000044,70,100,1.49,NZ,1670210470
70,kampong cham,11.9934,105.4635,28.220000000000027,68,60,6.23,KH,1670210471
71,hilo,19.7297,-155.09,24.03000000000003,81,75,2.57,US,1670210471
72,grajau,-5.8194,-46.1386,22.180000000000007,94,100,0.74,BR,1670210471
73,saskylakh,71.9167,114.0833,-23.819999999999965,96,100,6.13,RU,1670210472
74,komsomolskiy,40.4272,71.7189,0.4000000000000341,80,100,3.09,UZ,1670210473
75,puerto ayora,-0.7393,-90.3518,21.420000000000016,91,75,2.24,EC,1670210474
76,castro,-24.7911,-50.0119,18.07000000000005,98,100,1.57,BR,1670210221
77,kamaishi,39.2667,141.8833,5.0,46,100,4.42,JP,1670210474
78,mar del plata,-38.0023,-57.5575,17.83000000000004,94,0,3.09,AR,1670210289
79,tromso,69.6496,18.957,0.0100000000000477,93,75,9.77,NO,1670210475
80,chokurdakh,70.6333,147.9167,-39.54999999999998,100,97,1.8,RU,1670210476
81,esperance,-33.8667,121.9,18.470000000000027,71,100,6.2,AU,1670210476
82,litovko,49.2361,135.1742,-16.239999999999952,74,35,8.2,RU,1670210477
83,rivadavia,-33.1905,-68.4608,27.970000000000027,26,18,1.66,AR,1670210449
84,tooele,40.5308,-112.2983,7.410000000000025,84,100,3.62,US,1670210478
85,lompoc,34.6391,-120.4579,13.210000000000036,94,0,0.0,US,1670210434
86,yellowknife,62.456,-114.3525,-21.70999999999998,71,100,4.63,CA,1670210478
87,banda aceh,5.5577,95.3222,28.69,68,100,3.42,ID,1670210479
88,rome,34.257,-85.1647,10.260000000000048,75,100,0.0,US,1670210479
89,carnarvon,-24.8667,113.6333,24.340000000000032,61,4,6.12,AU,1670210480
90,tsiroanomandidy,-18.7667,46.0333,18.930000000000007,88,92,0.92,MG,1670210480
91,faanui,-16.4833,-151.75,26.850000000000023,74,2,5.96,PF,1670210481
92,arraial do cabo,-22.9661,-42.0278,22.629999999999995,90,100,12.73,BR,1670210481
93,chaman,30.9236,66.4512,8.170000000000016,41,0,0.95,PK,1670210482
94,upata,8.0086,-62.3989,21.77000000000004,92,99,1.37,VE,1670210482
95,marechal candido rondon,-24.5561,-54.0567,20.77000000000004,97,93,1.38,BR,1670210483
96,port elizabeth,-33.918,25.5701,14.620000000000005,99,20,5.66,ZA,1670210196
97,bethel,41.3712,-73.414,0.1800000000000068,74,0,0.0,US,1670210408
98,grong,64.4654,12.3149,-3.3999999999999773,97,100,2.4,NO,1670210484
99,oneonta,42.4529,-75.0638,1.2000000000000457,79,7,2.73,US,1670210405
100,cap malheureux,-19.9842,57.6142,25.82000000000005,66,90,3.13,MU,1670210484
101,hirado,33.3597,129.5531,12.439999999999998,62,100,8.49,JP,1670210485
102,pisco,-13.7,-76.2167,19.03000000000003,82,0,3.6,PE,1670210485
103,olavarria,-36.8927,-60.3225,17.939999999999998,48,1,4.42,AR,1670210486
104,butaritari,3.0707,172.7902,26.99000000000001,80,65,4.76,KI,1670210486
105,bathsheba,13.2167,-59.5167,23.920000000000016,96,20,2.57,BB,1670210486
106,khatanga,71.9667,102.5,-17.919999999999987,98,100,1.51,RU,1670210487
107,cidreira,-30.1811,-50.2056,21.96000000000004,95,54,1.99,BR,1670210487
108,sobolevo,54.4299,31.8996,-10.21999999999997,88,100,4.01,RU,1670210488
109,kruisfontein,-34.0033,24.7314,13.340000000000032,89,72,2.94,ZA,1670210488
110,tuktoyaktuk,69.4541,-133.0374,-26.99999999999997,76,0,6.69,CA,1670210489
111,copperas cove,31.1241,-97.9031,12.730000000000018,93,100,3.6,US,1670210215
112,broome,42.2506,-75.833,0.3700000000000045,70,0,4.12,US,1670210490
113,palmer,42.1584,-72.3287,-0.6399999999999864,72,0,1.74,US,1670210491
114,oussouye,12.485,-16.5469,22.100000000000023,80,100,2.82,SN,1670210492
115,mlonggo,-6.5333,110.7,29.590000000000032,67,92,1.42,ID,1670210492
116,mumford,5.2618,-0.759,25.83000000000004,88,23,2.66,GH,1670210493
117,ola,59.5833,151.2833,-25.47999999999999,78,52,3.11,RU,1670210488
118,constitucion,-35.3333,-72.4167,13.090000000000032,81,0,5.41,CL,1670210371
119,nabire,-3.3667,135.4833,30.79000000000002,59,91,2.31,ID,1670210494
120,ambon,-3.6954,128.1814,30.08000000000004,74,40,1.54,ID,1670210494
121,kahului,20.8947,-156.47,27.010000000000048,68,40,6.69,US,1670210454
122,hendrina,-26.1588,29.7153,14.340000000000032,80,6,2.3,ZA,1670210495
123,kirakira,-10.4544,161.9205,27.99000000000001,80,100,4.02,SB,1670210495
124,acarau,-2.8856,-40.12,26.21000000000004,76,52,8.71,BR,1670210496
125,baringo,0.4667,35.9667,18.53000000000003,74,73,2.85,KE,1670210496
126,upernavik,72.7868,-56.1549,-3.4899999999999523,70,100,4.43,GL,1670210497
127,tazovskiy,67.4667,78.7,-2.4599999999999795,92,100,7.73,RU,1670210497
128,cabo san lucas,22.8909,-109.9124,26.170000000000016,74,20,0.0,MX,1670210369
129,lavrentiya,65.5833,-171.0,0.3400000000000318,98,100,16.21,RU,1670210498
130,jacala,21.0167,-99.1833,12.82000000000005,95,30,0.8,MX,1670210499
131,puyang,29.4603,119.8861,6.020000000000039,93,100,1.63,CN,1670210499
132,tura,25.5198,90.2201,21.470000000000027,63,0,0.4,IN,1670210500
133,yinchuan,38.4681,106.2731,-3.1499999999999773,28,0,1.58,CN,1670210501
134,fortuna,40.5982,-124.1573,8.840000000000032,94,100,7.2,US,1670210501
135,altona,53.55,9.9333,5.53000000000003,95,100,4.12,DE,1670210502
136,the pas,53.8251,-101.2541,-20.98999999999998,71,40,5.66,CA,1670210502
137,quilpue,-33.045,-71.4494,14.050000000000011,88,0,2.06,CL,1670210502
138,georgetown,5.4112,100.3354,29.379999999999995,80,20,2.06,MY,1670210503
139,ranfurly,-45.1333,170.1,16.730000000000018,73,99,1.61,NZ,1670210503
140,tasiilaq,65.6145,-37.6368,-1.909999999999968,71,77,1.85,GL,1670210504
141,ballina,-28.8667,153.5667,28.340000000000032,61,1,3.29,AU,1670210504
142,tommot,58.9564,126.2925,-13.560000000000002,91,100,6.86,RU,1670210505
143,iqaluit,63.7506,-68.5145,-4.149999999999977,92,100,7.2,CA,1670210505
144,itoman,26.1247,127.6694,26.010000000000048,76,75,3.09,JP,1670210507
145,mogadishu,2.0371,45.3438,25.870000000000005,77,89,6.33,SO,1670210394
146,ostrovnoy,68.0531,39.5131,-4.979999999999961,89,100,7.8,RU,1670210507
147,saint-louis,16.3333,-15.0,20.80000000000001,43,95,3.96,SN,1670210508
148,coihaique,-45.5752,-72.0662,9.970000000000027,93,20,3.09,CL,1670210374
149,kawalu,-7.3817,108.2082,29.56,64,54,1.14,ID,1670210509
150,cairns,-16.9167,145.7667,35.04000000000002,57,40,4.12,AU,1670210509
151,leningradskiy,69.3833,178.4167,-11.21999999999997,94,100,8.96,RU,1670210510
152,padang,-0.9492,100.3543,29.03000000000003,79,100,1.03,ID,1670210510
153,los llanos de aridane,28.6585,-17.9182,18.860000000000014,88,75,3.58,ES,1670210511
154,piacabucu,-10.4056,-36.4344,23.840000000000032,88,72,4.27,BR,1670210511
155,kununurra,-15.7667,128.7333,37.99000000000001,32,71,2.06,AU,1670210512
156,aklavik,68.2191,-135.0107,-24.299999999999983,94,45,4.66,CA,1670210512
157,denpasar,-8.65,115.2167,32.81,62,40,4.12,ID,1670209939
158,mecca,21.4267,39.8261,23.29000000000002,81,49,1.85,SA,1670210388
159,erenhot,43.6475,111.9767,-12.089999999999977,48,0,5.47,CN,1670210513
160,sitka,57.0531,-135.33,0.9399999999999976,75,0,1.54,US,1670210514
161,isangel,-19.55,169.2667,31.06,79,100,1.54,VU,1670210514
162,biak,-0.9131,122.8766,27.110000000000014,76,100,0.32,ID,1670210515
163,sao jose da coroa grande,-8.8978,-35.1478,24.33000000000004,86,16,4.6,BR,1670210515
164,nikolskoye,59.7035,30.7861,-4.060000000000002,94,100,3.27,RU,1670210516
165,abnub,27.2696,31.1511,14.379999999999995,87,0,4.66,EG,1670210516
166,sinnamary,5.3833,-52.95,24.379999999999995,88,100,1.38,GF,1670210517
167,karaton,-6.3424,106.1045,29.71000000000004,62,100,1.64,ID,1670210517
168,barrow,71.2906,-156.7887,-5.989999999999952,86,20,12.35,US,1670210518
169,uniontown,39.9001,-79.7164,-0.8499999999999659,69,0,2.18,US,1670210518
170,rolla,37.9514,-91.7713,6.080000000000041,48,100,5.14,US,1670210447
171,shitanjing,39.2342,106.3439,-4.329999999999984,34,0,1.13,CN,1670210519
172,aromashevo,56.8602,68.6375,-22.99999999999997,100,98,1.56,RU,1670210519
173,tevaitoa,-16.7833,-151.5,26.850000000000023,76,3,6.75,PF,1670210520
174,raga,8.4596,25.678,21.610000000000014,39,23,1.83,SS,1670210520
175,jiblah,13.9216,44.1467,12.189999999999998,62,7,1.51,YE,1670210521
176,douglas,41.3,-96.167,2.400000000000034,54,0,5.66,US,1670210483
177,bad doberan,54.1071,11.9005,3.890000000000043,98,100,6.15,DE,1670210522
178,hualmay,-11.0964,-77.6139,19.200000000000045,83,0,3.06,PE,1670210522
179,ocos,14.5094,-92.1933,25.100000000000023,78,0,0.61,GT,1670210523
180,saldanha,-33.0117,17.9442,13.03000000000003,81,0,6.14,ZA,1670210523
181,darlowo,54.421,16.4107,1.6000000000000227,90,100,5.68,PL,1670210524
182,rudnyy,52.9594,63.1206,-18.869999999999976,97,97,1.35,KZ,1670210525
183,chuy,-33.6971,-53.4616,17.220000000000027,95,0,1.75,UY,1670210525
184,thompson,55.7435,-97.8558,-29.909999999999968,76,20,5.14,CA,1670210526
185,ypsilanti,42.2412,-83.613,-0.2099999999999795,63,0,4.63,US,1670210437
186,diego de almagro,-26.3667,-70.05,17.99000000000001,36,0,0.92,CL,1670210488
187,hami,42.8,93.45,-3.5600000000000023,38,80,1.82,CN,1670210527
188,nyimba,-14.5566,30.8149,22.879999999999995,52,100,1.2,ZM,1670210527
189,ribeira grande,38.5167,-28.7,16.54000000000002,74,27,5.81,PT,1670210528
190,salekhard,66.53,66.6019,-11.389999999999986,87,25,3.41,RU,1670210528
191,pangnirtung,66.1451,-65.7125,-0.5799999999999841,80,100,6.84,CA,1670210529
192,guadalupe y calvo,26.1,-106.9667,10.83000000000004,67,100,1.33,MX,1670210529
193,tchamba,9.0333,1.4167,21.129999999999995,36,16,0.46,TG,1670210529
194,westport,41.1415,-73.3579,3.75,66,0,1.54,US,1670210270
195,magnolia,33.2671,-93.2393,6.830000000000041,73,100,1.7,US,1670210350
196,mahebourg,-20.4081,57.7,26.160000000000025,69,40,4.12,MU,1670210531
